date,open,high,low,close,volume
1984-07-19,1.0554,1.0576,1.0489,1.0489,934800
1984-07-20,1.0532,1.0599,1.0466,1.0510,1557600
1984-07-23,1.0466,1.0554,1.0378,1.0510,3313200
1984-07-24,1.0554,1.0666,1.0532,1.0599,1549200
1984-07-25,1.0599,1.0841,1.0576,1.0731,1828800
1984-07-26,1.0731,1.0952,1.0666,1.0687,4942800
1984-07-27,1.0666,1.0666,1.0576,1.0576,1039200
1984-07-30,1.0554,1.0643,1.0510,1.0576,1165200
1984-07-31,1.0576,1.0731,1.0554,1.0731,1059600
1984-08-01,1.0687,1.0996,1.0666,1.0996,2842800
1984-08-02,1.0952,1.1461,1.0687,1.1349,3843600
1984-08-03,1.1305,1.1438,1.1173,1.1261,3099600
1984-08-06,1.1217,1.1217,1.0952,1.0952,2974800
1984-08-07,1.0931,1.1084,1.0908,1.0952,3500400
1984-08-08,1.0973,1.1019,1.0908,1.0908,2011200
1984-08-09,1.0931,1.1084,1.0908,1.1019,1474800
1984-08-10,1.1040,1.1173,1.1040,1.1084,2324400
1984-08-13,1.1084,1.1106,1.0996,1.1084,1255200
1984-08-14,1.1040,1.1129,1.1040,1.1061,1123200
1984-08-15,1.1019,1.1152,1.0996,1.1040,1593600
1984-08-16,1.0996,1.1129,1.0973,1.1084,748800
1984-08-17,1.1106,1.1173,1.0996,1.1084,841200
1984-08-20,1.1084,1.1238,1.1084,1.1238,1508400
1984-08-21,1.1196,1.1438,1.1173,1.1371,2520000
1984-08-22,1.1326,1.1394,1.1305,1.1349,916800
1984-08-23,1.1305,1.1326,1.1261,1.1284,1303200
1984-08-24,1.1284,1.1284,1.1217,1.1238,3434400
1984-08-27,1.1196,1.1261,1.1152,1.1196,800400
1984-08-28,1.1196,1.1261,1.1196,1.1217,672000
1984-08-29,1.1217,1.1284,1.1217,1.1217,1238400
1984-08-30,1.1173,1.1217,1.1152,1.1196,860400
1984-08-31,1.1173,1.1217,1.1173,1.1217,1142400
1984-09-04,1.1196,1.1217,1.1152,1.1173,488400
1984-09-05,1.1129,1.1152,1.1084,1.1084,1646400
1984-09-06,1.1152,1.1261,1.1129,1.1217,9136800
1984-09-07,1.1238,1.1261,1.1173,1.1173,850800
1984-09-10,1.1129,1.1238,1.1106,1.1217,5924400
1984-09-11,1.1152,1.1196,1.1152,1.1152,4959600
1984-09-12,1.1152,1.1217,1.1152,1.1196,520800
1984-09-13,1.1238,1.1349,1.1173,1.1305,8888400
1984-09-14,1.1394,1.1416,1.1326,1.1371,1719600
1984-09-17,1.1326,1.1416,1.1284,1.1349,8122800
1984-09-18,1.1371,1.1394,1.1326,1.1326,1195200
1984-09-19,1.1326,1.1549,1.1305,1.1461,10376400
1984-09-20,1.1461,1.1636,1.1438,1.1549,4149600
1984-09-21,1.1549,1.1658,1.1549,1.1591,17424000
1984-09-24,1.1371,1.1438,1.1349,1.1349,4518000
1984-09-25,1.1326,1.1416,1.1261,1.1371,1038000
1984-09-26,1.1349,1.1438,1.1326,1.1371,882000
1984-09-27,1.1394,1.1438,1.1349,1.1371,2452800
1984-09-28,1.1394,1.1438,1.1371,1.1416,1099200
1984-10-01,1.1416,1.1461,1.1394,1.1416,2667600
1984-10-02,1.1394,1.1438,1.1371,1.1416,2679600
1984-10-03,1.1416,1.1416,1.1371,1.1371,1186800
1984-10-04,1.1394,1.1394,1.1349,1.1371,645600
1984-10-05,1.1371,1.1394,1.1284,1.1305,1424400
1984-10-08,1.1326,1.1326,1.1196,1.1217,387600
1984-10-09,1.1238,1.1284,1.1173,1.1196,697200
1984-10-10,1.1217,1.1238,1.1173,1.1217,1156800
1984-10-11,1.1238,1.1305,1.1217,1.1261,945600
1984-10-12,1.1305,1.1416,1.1305,1.1394,1153200
1984-10-15,1.1394,1.1591,1.1371,1.1570,2437200
1984-10-16,1.1570,1.1658,1.1570,1.1658,1532400
1984-10-17,1.1658,1.1835,1.1636,1.1791,1105200
1984-10-18,1.1856,1.2012,1.1835,1.1991,2139600
1984-10-19,1.2100,1.2233,1.2056,1.2144,2269200
1984-10-22,1.2121,1.2144,1.1968,1.1991,918000
1984-10-23,1.1923,1.1923,1.1482,1.1591,4645200
1984-10-24,1.1614,1.1636,1.1482,1.1482,2960400
1984-10-25,1.1526,1.1681,1.1482,1.1658,3832800
1984-10-26,1.1591,1.1614,1.1549,1.1570,1412400
1984-10-29,1.1526,1.1591,1.1482,1.1591,1432800
1984-10-30,1.1526,1.1614,1.1503,1.1570,1582800
1984-10-31,1.1526,1.1614,1.1503,1.1570,1681200
1984-11-01,1.1526,1.1614,1.1526,1.1570,2248800
1984-11-02,1.1549,1.1658,1.1549,1.1614,1880400
1984-11-05,1.1570,1.1658,1.1570,1.1591,1656000
1984-11-06,1.1591,1.1747,1.1591,1.1726,2364000
1984-11-07,1.1747,1.1768,1.1636,1.1658,2061600
1984-11-08,1.1614,1.1636,1.1526,1.1570,1171200
1984-11-09,1.1591,1.1658,1.1526,1.1526,1527600
1984-11-12,1.1526,1.1526,1.1482,1.1482,607200
1984-11-13,1.1438,1.1461,1.1349,1.1371,708000
1984-11-14,1.1371,1.1394,1.1284,1.1371,2053200
